"order_id","product_id","customer_id","price","shipping_date","order_date","quantity","discount_pct","sales_channel","payment_method","shipping_region","order_status","promo_code","customer_segment"
"213739340","944151","7481857","70.28","2024-02-07","2024-02-01",1,"0.00","Mobile App","Credit Card","South","Returned",NULL,"New"
"943415633","131244","4514944","63.23","2025-05-13","2025-05-11",1,"0.00","Mobile App","Apple Pay","West","Delivered",NULL,"Returning"
"789147591","391476","5187788","140.11","2025-02-10","2025-02-09",1,"0.00","Online","Gift Card","South","Delivered","FREESHIP","Returning"
"808653239","988662","1522452","184.07","2025-08-07","2025-08-01",1,"0.00","Online","Gift Card","West","Delivered","FREESHIP","Returning"
"944825905","944151","8835373","63.82","2024-06-19","2024-06-18",1,"0.00","Online","Credit Card","Northeast","Delivered","WELCOME10","New"
"285374501","439902","6279418","41.22","2024-03-07","2024-02-27",2,"0.00","Marketplace","Gift Card","Northeast","Shipped",NULL,"Returning"
"142080866","864544","5673599",NULL,"2024-06-03","2024-05-30",1,"0.05","Mobile App","Gift Card","South","Delivered","WELCOME10","New"
"396284956","864544","8351320",NULL,"2025-02-19","2025-02-13",1,"0.00","Online","Credit Card","South","Delivered","SAVE15","New"
"405669440","864544","4158134",NULL,"2026-02-03","2026-01-30",1,"0.00","Marketplace","Debit Card","Northeast","Delivered","FREESHIP","Returning"
"839170893","864544","9164342",NULL,"2024-06-08","2024-06-07",3,"0.00","In Store","Buy Now Pay Later","Northeast","Shipped",NULL,"Returning"
"481584364","864544","2281433",NULL,"2024-11-09","2024-11-05",1,"0.05","Marketplace","Gift Card","West","Returned","WELCOME10","Returning"
"609490977","864544","3057514",NULL,"2024-02-13","2024-02-06",2,"0.10","Online","Apple Pay","Northeast","Shipped",NULL,"Returning"
"689360922","864544","1192619",NULL,"2024-01-06","2024-01-01",1,"0.00","Mobile App","Credit Card","West","Delivered","BFCM25","Returning"
"807762976","864544","5921894",NULL,"2025-01-16","2025-01-13",1,"0.00","Marketplace","Credit Card","South","Delivered",NULL,"New"
"410088282","864544","3057514",NULL,"2025-04-09","2025-04-04",2,"0.05","Online","Credit Card","South","Delivered","SAVE15","Returning"
"291069859","864544","4599894",NULL,"2025-08-04","2025-07-28",1,"0.00","Online","Debit Card","South","Delivered",NULL,"Returning"
"601701452","864544","1044891",NULL,"2024-03-30","2024-03-23",1,"0.00","Online","Credit Card","Northeast","Returned",NULL,"New"
"310537146","864544","8990081",NULL,"2024-03-13","2024-03-07",1,"0.00","Online","Apple Pay","Midwest","Delivered","FREESHIP","Returning"
"256777689","864544","3871230",NULL,"2025-06-29","2025-06-25",1,"0.05","In Store","Buy Now Pay Later","Northeast","Shipped","SAVE15","Returning"
"621821791","864544","9028420",NULL,"2025-09-11","2025-09-04",1,"0.15","Online","Buy Now Pay Later","West","Delivered",NULL,"New"
"457713542","864544","3177199",NULL,"2025-09-30","2025-09-25",1,"0.00","Online","Buy Now Pay Later","South","Delivered",NULL,"Returning"
"457911424","864544","1614394",NULL,"2025-05-31","2025-05-26",1,"0.05","In Store","Apple Pay","Northeast","Delivered",NULL,"New"
"743328230","864544","7425184",NULL,"2024-12-02","2024-11-25",1,"0.00","Online","Debit Card","West","Delivered",NULL,"Returning"
"420269982","864544","7795314",NULL,"2026-01-18","2026-01-10",1,"0.00","Online","Apple Pay","West","Shipped","WELCOME10","Returning"
"979574547","249811","9209880",NULL,"2024-09-13","2024-09-07",1,"0.25","In Store","Buy Now Pay Later","South","Delivered","SAVE15","Returning"
"614467138","864544","6919270",NULL,"2026-01-30","2026-01-29",3,"0.00","Online","Credit Card","West","Processing","FREESHIP","Returning"
"710526692","864544","8639414",NULL,"2025-08-25","2025-08-22",1,"0.20","Marketplace","Debit Card","South","Shipped","SAVE15","Returning"
"640926620","864544","5785687",NULL,"2024-10-24","2024-10-24",2,"0.25","In Store","Apple Pay","West","Delivered",NULL,"New"
"255306960","864544","3030966",NULL,"2025-04-22","2025-04-18",1,"0.20","Online","Credit Card","Northeast","Shipped",NULL,"New"
"781705243","864544","4553384",NULL,"2026-03-04","2026-02-25",1,"0.00","Marketplace","Credit Card","Northeast","Processing",NULL,"Returning"
"112798472","864544","2154126",NULL,"2025-01-30","2025-01-23",1,"0.00","In Store","Debit Card","West","Delivered",NULL,"Returning"
"142262603","864544","9196976",NULL,"2024-08-23","2024-08-19",1,"0.00","Mobile App","Credit Card","South","Delivered",NULL,"Returning"
"941642051","864544","4934149",NULL,"2025-01-11","2025-01-04",1,"0.10","Online","Debit Card","South","Delivered","BFCM25","Returning"
"356374256","131244","2876828","69.03","2025-07-01","2025-06-28",1,"0.00","Online","Gift Card","Northeast","Processing",NULL,"VIP"
"922441905","391476","7194416","135.60","2024-04-12","2024-04-05",1,"0.00","In Store","Apple Pay","South","Delivered",NULL,"VIP"
"686928850","216970","3673322","112.33","2025-10-31","2025-10-29",1,"0.00","Online","Buy Now Pay Later","South","Delivered",NULL,"Returning"
"569870769","944151","3247055","61.37","2024-05-02","2024-04-26",1,"0.00","Online","Apple Pay","South","Delivered",NULL,"Returning"
"199025561","770487","8841505","12.06","2024-02-11","2024-02-07",1,"0.05","Online","Buy Now Pay Later","South","Delivered","WELCOME10","Returning"
"908212264","479201","8149041","30.31","2025-07-28","2025-07-22",1,"0.05","Online","Buy Now Pay Later","South","Processing","FREESHIP","Returning"
"358371397","479201","9990305","60.38","2024-02-17","2024-02-09",2,"0.15","Online","Debit Card","Midwest","Delivered",NULL,"New"
"609562773","988662","5641923","188.87","2026-02-07","2026-02-06",1,"0.00","Mobile App","Debit Card","West","Delivered",NULL,"Returning"
"789951335","249811","2259379","52.76","2024-07-13","2024-07-07",1,"0.05","Online","Apple Pay","West","Returned","BFCM25","New"
